SubjectID,pt_cond,emot_cond,exper,mainfeel_1,mainfeel_2,mainfeel_3,main_expl,mainfeel_prob,mainfeel_prob_comment,happy,shocked,hopeful,angry,compass,interest,disgust,mad,curious,afraid,grateful,proud,surprise,amused,down,worried,frustrated,sad,embarrass,guilt,selfanger,symp,melfeel_1,melfeel_2,melfeel_3,melexpl,mhappy,mshocked,mhope,mangry,mselfanger,minterest,mdisgust,mmad,mcurious,mafraid,mgrateful,mproud,msurprise,mamused,mdown,mworried,mfrustrate,msad,membarrass,mguilty,pleas,selfag,targag,otherag,sitag,mixag,selfpow,targpow,othpow,noonepow,sitcont,immoral,m_pleas,m_selfag,m_otherag,m_sitag,m_mixag,m_selfpow,m_otherpow,m_noonepow,m_sitpow,m_immoral,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_10,iri_11,iri_15,iri_29,iri_30,iri_32,iri_33,iri_34,iri2_19,iri2_22,iri2_23,iri2_24,iri2_25,iri2_28,iri2_35,iri2_36,iri2_37,iri2_38,iri2_39,iri2_40,iri2_41,iri2_42,ssc,ideol,age,female,black,asian,latino,white,other,mideast,natam,pacisl,mom_ed,dad_ed,expcomment,language,inattentionORsuspicion,minorproblem
603,1,2,Brooklyn,interested ,unmoved,bored ,,0,,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,anger ,disgust ,flabbergasted ,,1,5,4,5,2,1,5,5,1,1,1,1,5,1,4,3,5,5,4,2,4,1,2,5,2,3,1,4,5,1,1,3,5,3,5,1,3,3,5,1,1,5,2,5,1,2,3,1,4,3,3,1,4,2,4,1,2,2,4,5,3,3,3,4,3,5,4,1,4,1,21,6,18,0,0,1,0,0,0,0,0,0,3,8,Subject was able to remain objective by focusing on the facts and not the feelings of the writer in the letter.,0,0,0
604,1,1,Brooklyn,surprised,understanding,detached,I wasnt expecting that ending but I did not allow myself to get emotionally attached,0,,1,2,1,2,1,2,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,2,sad,angry,hopeless,,1,2,1,3,3,1,1,2,1,2,1,1,1,1,1,4,3,4,1,2,1,1,1,3,5,3,1,1,1,4,3,1,1,2,2,1,3,1,2,2,2,1,5,5,3,3,4,5,3,4,1,1,2,2,3,2,4,3,4,3,4,3,4,5,2,3,5,2,4,2,19,5,18,1,0,0,0,1,0,0,0,0,2,2,Subject found that it was really difficult to remain objective and believes that she was able to remain half objective; half not objective.,0,0,0
606,1,1,Brooklyn,Sympathy,Upset,Disappointed,It seemed obvious that the author really wanted to go to the Bachelorette party; but unfortunately; she had several unforeseen circumstances come up that didn't allow for it to happen. I felt for the author; and it was extremely difficult staying neutral in this situation.,0,,1,2,3,3,4,3,1,4,3,1,3,1,4,1,4,3,5,5,5,2,1,5,Embarassment,Disappointment,Betrayal,It seemed as if she almost betrayed her friend. She was the maid of honor at the wedding; and she missed the party due to car problems. She was supposed to be there; and she couldn't.,1,3,3,5,4,2,5,3,2,5,1,1,4,1,4,5,4,5,5,3,3,1,4,5,4,3,2,5,4,1,2,2,5,4,5,1,2,5,5,2,3,4,3,4,4,2,5,5,4,4,1,2,3,2,3,2,4,3,4,4,5,3,3,2,2,5,2,2,2,4,21,1,18,0,0,0,0,1,0,0,0,0,3,2,Subject found it very difficult to remain objective.  He tried to remain objective by separating his reaction from the way Melissa felt. ,0,0,0
608,2,1,Brooklyn,empathy,disinterest,,disinterest in the story she tells; not in participating in the study,0,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,sad,regretful,upset,,1,4,1,4,2,1,1,4,1,1,1,1,1,1,5,4,5,5,1,4,1,1,1,4,3,5,1,3,5,2,1,1,4,3,2,3,2,2,3,2,2,1,4,2,2,4,5,2,4,4,5,2,4,5,2,2,4,1,2,NA,1,1,2,4,1,5,1,1,4,1,21,7,18,1,0,0,0,1,0,0,0,0,8,8,Subject thought the study was about empathy and how well she could empathize with Melissa.,0,0,0
609,1,2,Brooklyn,sad,disappointed,upset,It really sucks that she missed her friends party and they had wanted to go to New York. That is really sad,0,,1,1,3,1,3,4,1,1,4,1,3,1,1,1,3,1,2,4,1,1,1,5,Angry,Sad,Wishful,,1,1,2,3,4,1,1,3,1,2,1,1,1,1,5,5,5,5,1,4,3,1,3,4,4,5,1,3,4,1,3,1,5,4,4,3,4,2,3,2,3,1,2,5,3,2,2,4,5,4,2,2,3,1,4,2,3,3,5,3,4,3,2,2,5,1,1,4,2,4,20,5,18,1,1,0,0,0,0,0,0,0,7,3,While reading the letter; the subject was pretty sure the letter was not written by a past participant.  Discard data? /  / Subject found it extremely difficult to remain objective but was able to do so by not thinking about Melissa's emotions while reading the letter.,0,0,1
610,1,1,Brooklyn,kind of indifferent,interested in meeting person,want to know more,,0,,2,1,1,1,2,4,1,1,4,1,1,1,2,1,1,1,2,2,1,1,1,3,sad,upset,disappointed,,1,1,2,2,1,1,1,4,1,1,1,2,2,1,3,1,4,5,1,1,1,1,1,4,1,3,1,1,5,1,1,3,4,1,4,5,3,1,4,2,3,3,4,4,3,4,5,4,4,4,2,2,3,3,4,2,4,3,3,3,2,3,3,3,2,5,4,2,4,2,19,3,18,1,0,0,0,1,0,0,0,0,7,7,Subject found it difficult to remain objective--thought she remained about 50-60% objective. / Thought it was odd that the survey was asking questions about the letter being emotion when she read a very emotional letter because not everyone would write about something emotional. / Thought it was weird that she wrote with a pen while the subject wrote with pencil.,0,0,0
611,1,2,Brooklyn,Mostly detached,A bit sympathetic,,,0,,1,2,1,1,3,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,3,Angry ,Bitter,Sad,,1,3,1,5,2,1,2,5,1,1,1,1,1,1,3,2,5,3,1,2,4,1,2,5,1,2,1,3,5,1,1,4,5,1,5,1,1,1,1,1,1,5,4,2,3,3,4,4,3,4,3,4,3,3,2,2,5,2,4,3,3,2,4,3,4,2,3,3,3,3,17,3,18,1,0,0,0,1,0,0,0,0,8,4,Subject remained objective by not getting caught up in the emotions of the letter.,0,0,0
613,2,2,Brooklyn,Dismay,Regret,Consoling,I feel bad for the person who wrote this letter because she seemed so excited to go to New York for her best friend's bachelorette party; which she didn't get to do because her friend lied to her about getting his car fixed. I really wish she could have gone to the bachelorette party; and she is probably going to regret this for a long time. ,0,,3,1,2,2,5,4,2,1,1,1,3,1,1,1,3,1,4,2,1,3,1,5,Anger,Resentment,Guilt,She feels angry and resentful towards the person who promised to drive her; and lied about getting his car fixed (which eventually broke down). I think that she also feels guilty about not being able to go to the bachelorette party for her best friend - that she planned!,1,4,1,5,2,1,5,5,1,2,1,1,4,1,5,2,5,5,4,4,4,1,2,5,2,2,1,1,5,1,1,1,5,3,5,1,1,1,5,1,1,5,5,5,1,1,5,4,4,4,1,1,3,2,5,1,4,4,4,4,5,4,2,3,1,3,5,3,4,3,21,7,18,1,0,1,0,0,0,0,0,0,2,8,No comment.,0,0,0
614,2,2,Brooklyn,Sympathetic,Frustrated,Depressed,This poor girl couldn't go to her best friend's bachelorette party because her other friend lied to her about getting his car fixed which sucks.,0,,2,1,2,1,2,2,1,1,3,1,2,1,1,3,1,1,2,1,1,1,1,3,Angry,Frustrated,Annoyed,,1,2,1,4,1,1,3,4,1,1,1,1,3,1,3,3,4,3,1,1,3,1,2,4,3,5,1,2,4,1,1,2,4,1,5,2,3,1,5,1,1,3,5,3,3,3,2,2,4,1,4,2,3,4,4,3,2,3,1,4,1,2,2,3,1,5,4,1,4,1,21,4,18,1,0,1,0,0,0,0,0,0,4,8,No comment.,0,0,0
616,1,2,Brooklyn,Disappointed,Interested,Sentimental,,0,,1,2,1,1,1,4,1,2,2,1,1,1,3,1,1,1,3,2,1,1,2,4,Angry,Disappointed,Frustrated,,1,2,1,5,1,1,3,4,1,1,1,1,2,1,3,2,5,4,1,2,2,1,1,4,2,4,1,2,5,1,1,4,4,1,4,1,3,1,5,1,1,5,4,3,2,2,2,2,3,3,2,2,3,1,3,3,3,2,3,4,3,2,2,4,2,3,3,1,3,1,19,6,18,0,0,0,0,1,0,0,0,0,8,8,The subject remained objective by reading the letter quickly and not thinking about Melissa's emotions. /  / Subject knew that the letter was not written by a past participant; he realized this when the questionnaire was asking him on a scale of one to five; rank his emotion.  He believed the questionnaire matched what happened in the letter too much; especially because that was not the type of letter that he wrote.,0,0,1
618,2,1,Brooklyn,Sympathy,Distress,Frustration,,0,,1,1,2,4,3,2,2,5,NA,1,4,1,1,1,5,2,4,4,1,1,2,2,Disappointment,Sadness,Frustration,,1,2,2,1,1,1,4,5,1,2,1,1,1,1,5,4,5,5,1,1,4,1,1,3,4,4,1,2,3,3,3,1,5,2,2,2,4,2,2,2,3,1,4,3,3,2,1,2,4,4,1,4,4,4,4,5,3,3,4,4,2,2,2,1,1,3,2,2,2,2,21,3,18,1,0,0,0,1,0,0,0,0,8,8,No comment.,0,0,0
621,1,1,Brooklyn,Nervous,Concerned,Slightly confused,,0,,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,3,2,2,1,1,1,3,Sad,Angry,Frustrated,,1,2,1,3,2,1,2,2,1,1,1,1,1,1,4,2,4,4,1,2,2,1,2,2,3,5,1,3,2,1,2,1,5,1,4,1,3,1,2,2,1,1,2,3,2,1,3,4,4,4,1,1,1,2,3,2,4,2,4,2,4,3,1,1,1,4,3,1,3,1,20,5,18,1,0,0,0,1,0,0,0,0,8,8,No comment,0,0,0
622,1,1,Brooklyn,empathy,curiousity,confusion,,0,,1,1,2,1,2,2,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,4,sadness,upset,emotional,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,1,5,1,1,1,1,1,3,2,2,3,4,3,1,2,1,5,2,2,3,3,4,3,3,3,2,5,5,1,1,5,5,5,3,1,1,4,5,5,1,3,5,4,4,4,3,2,2,1,4,2,2,4,3,23,5,18,1,0,1,0,0,0,0,0,0,8,8,Subject remained objective by reminding self that Melissa is not someone they know.,0,0,0
623,1,2,Brooklyn,Sad ,Angry,Disappointed,,0,,1,2,2,2,1,2,1,2,2,1,1,1,4,4,1,3,2,2,1,1,1,4,Disappointment,Sadness,Anger,,1,4,1,5,1,1,3,5,1,1,1,1,3,1,2,3,5,4,1,1,3,1,1,5,1,4,1,3,5,1,1,4,4,1,4,3,2,3,4,1,1,5,2,2,2,2,3,2,4,3,3,3,3,NA,3,2,2,3,3,3,2,2,2,3,3,2,2,2,2,2,20,5,18,0,0,1,0,0,0,0,0,0,8,8,Remained objective by remembering that he does not know Melissa. ,0,0,0
624,1,1,Brooklyn,Unhappy,Nervous ,Excited,I feel bad for Melissa; the letter made it sound like she was really excited to plan her friends bachelorette party.  ,0,,1,1,3,1,2,3,1,2,2,2,1,1,1,1,2,2,1,4,1,1,1,3,Upset ,Anxious ,Excited ,The letter writer was very excited to see her best friend get married and was very anxious to get back to New York City so she could actually witness the memory. However; because of her friend's car troubles she was very upset that she was not able to host the bachelorette party and attend the wedding. ,1,3,1,3,2,1,1,5,1,3,1,1,1,1,5,1,1,5,2,1,2,1,3,5,1,1,1,3,5,1,1,1,3,3,5,1,2,4,4,1,1,1,1,4,5,3,2,1,3,NA,1,1,2,1,3,2,3,2,3,2,4,1,5,2,1,2,2,3,1,2,20,6,18,0,0,0,0,1,0,0,0,0,7,7,no comment,0,0,0
625,1,2,Brooklyn,sympathy,understanding,confused,The fact that her friend lied to her about fixing his car makes me question if that friend is trustworthy. I don't see why her friend would lie about that; since the car breaking down effected his plans too. I sympathize with her when she says that she is fuming just thinking about it because I would be upset too. ,0,,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,anger,frustration,betrayed,The writer is mostly angry because she had to miss her best friends wedding party because of her friend who lied to her. I think she also feels betrayed because her friend with the car lied to her about something which ruined her plans. ,1,2,1,4,3,1,1,4,1,1,1,1,1,1,3,1,5,2,1,NA,2,1,2,4,2,3,1,3,5,1,1,2,2,3,5,1,2,2,5,1,1,3,5,3,4,4,3,3,4,5,3,2,3,4,4,2,3,2,4,2,3,2,4,4,4,4,2,2,2,2,20,4,18,1,0,0,0,1,0,0,0,0,3,7,no comment,0,0,0
626,2,1,Brooklyn,Anxiety,Sadness,Surprisment,Well I want to know more in details what else happened after her best friend and Melissa got back together to talk about the bachelorette party at Ann Arbor. It is sad to know even when you plan ahead things might still go wrong. What makes it even sadder is that both of them are best friends for about 10 years now.,0,,1,4,2,1,1,5,1,1,4,1,3,1,4,2,3,5,1,4,1,2,1,4,Sadness,Anxious,Frustrated,She planned ahead of the event and some why everything still ended up messing up.,1,5,3,5,2,1,1,5,1,2,1,1,3,1,4,4,5,5,1,3,3,1,1,4,2,4,1,NA,3,2,2,1,3,4,3,2,3,3,3,2,2,1,2,4,1,2,3,1,5,3,2,3,5,4,4,1,2,5,5,5,5,3,2,1,1,4,3,1,2,2,16,4,18,0,0,0,1,0,0,0,0,0,1,1,English was not this person's first language; their first language is Spanish.  This made it hard for them to understand some of the words in Melissa's letter and I was even asked to define what a bachlorette party is.  They said they were not able to take Melissa's perspective because of this.,1,0,0
627,2,2,Brooklyn,angry,sad,sympathetic,,0,,1,2,1,2,2,1,2,2,1,1,2,1,2,3,2,1,2,3,1,1,1,4,angry,upset,sad,,1,2,1,5,1,1,2,5,1,1,1,1,1,1,3,1,4,4,1,1,2,1,2,5,2,2,1,2,4,1,1,4,5,1,5,1,1,2,5,1,1,5,4,4,3,2,4,4,4,2,1,2,5,2,4,2,3,4,4,4,2,3,2,2,3,2,3,3,4,3,19,4,18,1,0,0,0,1,0,0,0,0,7,8,no comment,0,0,0
629,1,1,Brooklyn,surprised,interested,concerned,,0,,2,3,3,2,3,3,1,2,2,1,1,1,4,3,2,3,3,2,2,1,1,4,happiness,surprise,sadness,,3,4,3,4,4,3,1,4,1,1,2,2,4,2,4,4,5,4,2,4,2,1,3,3,3,5,1,3,3,2,2,1,4,3,4,2,4,3,3,3,2,1,5,4,2,3,4,3,3,4,2,2,4,3,4,2,4,4,4,4,3,4,3,2,2,3,2,2,2,2,20,5,18,1,0,0,0,1,0,0,0,0,7,8,,0,0,0
701,1,2,Curtis,that really stinks for melissa!,I feel like her friend should not have done that,she shouldn't be so mad at the person who's car broke down,,0,,1,3,1,3,1,4,1,3,2,1,2,1,4,2,3,2,4,2,1,2,1,4,She is angry ,She is disjointed she couldn't go to party ,she is frustrated with her friend ,,1,4,2,5,2,1,3,5,1,2,1,1,2,1,5,2,5,5,2,4,3,1,2,5,4,4,1,3,5,1,1,1,4,1,5,3,4,2,4,1,2,1,3,4,2,1,3,3,4,4,2,3,2,3,4,2,3,4,4,3,4,3,2,2,1,4,4,2,4,2,20,2,18,1,0,0,0,1,0,0,0,0,3,7,,0,0,0
703,2,1,Curtis,Sad,Disappointed,Upset,I feel bad for the participant because she was unable to attend her friends' bachelorette party due to circumstances out of her control. ,0,,1,3,1,2,4,1,1,3,1,1,1,1,2,2,4,2,4,4,3,3,3,4,Angry-at-self,Guilty,Disappointed,The writer was extremely disappointed that she was unable to attend her friend's bachelorette party and especially so because she had a plan to make it but then her friend's car broke down and it was out of her control.,1,3,1,4,3,3,1,2,1,1,1,1,2,1,5,2,5,5,4,5,4,1,2,3,3,5,1,2,4,2,2,2,4,3,5,3,4,2,2,3,3,3,3,4,2,2,2,2,5,3,1,2,4,4,2,3,3,3,4,3,3,1,3,2,2,3,3,2,4,2,20,4,18,0,0,0,0,1,0,0,0,0,8,7,,0,0,0
704,2,1,Curtis,empathetic,disappointment,sympatheic,,0,,1,2,1,1,4,1,1,3,1,1,2,1,2,1,3,1,3,4,1,1,1,5,sad,disappointed,guilty,,1,1,1,2,3,1,2,3,1,1,1,1,1,1,4,1,2,5,3,5,5,1,3,4,5,5,1,4,5,2,3,1,5,5,3,2,2,5,4,2,2,3,4,4,3,2,5,4,4,2,3,1,4,2,3,1,3,4,4,4,4,2,3,4,2,3,4,3,4,3,20,5,18,1,0,0,0,1,0,0,0,0,2,2,,0,0,0
705,2,2,Curtis,sadness,empathy,frustration,I feel sad because I know how she must be feeling about her experience. I'm slightly frustrated because of what her friend did and although it has nothing to do with me and I don't even know either of these people; I can easily remember personal experiences with different people but similar situations.,0,,1,1,1,2,2,3,2,2,2,1,1,1,2,1,4,1,3,4,1,1,1,4,anger,sadness,disappointment,The letter writer was clearly very upset about what happened and what she missed out on. Especially because it was to be such a meaningful and important event; not only for her; but for her friend. I think she must be very sad; and very angry at her other friend who lied to her. She must also be disappointed in that friend; but also herself; because she knows that she let down one of her other friends. She might also be feeling guilty about what happened.,1,1,1,5,3,1,3,4,1,1,1,1,1,1,5,3,5,4,1,2,5,1,1,4,1,4,1,2,5,1,1,4,5,1,5,2,2,1,5,1,1,5,4,4,1,2,2,4,3,5,4,1,4,4,4,1,3,4,NA,5,2,4,1,4,2,3,4,2,4,3,20,2,18,0,0,0,0,1,0,1,0,0,7,7,,0,0,0
706,1,2,Curtis,sympathetic,,,I'm sorry Melissa missed her best friend of 10 years' bachelorette party.  It sucks to be in that situation; but she did try everything she could have.,0,,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,upset,frustrated,furious,,1,1,1,4,3,1,1,4,1,2,1,1,1,1,4,3,4,4,3,1,3,1,2,3,2,4,1,1,5,1,1,3,4,3,5,1,2,2,5,1,1,3,4,4,2,4,5,4,4,4,1,2,3,3,4,1,5,3,4,4,4,2,3,3,2,4,4,2,4,1,19,6,18,1,0,1,0,0,0,0,0,0,4,8,To remain objective; subject said that subject tried to take the perspective of all parties mentioned in the letter. ,0,0,0
707,1,1,Curtis,Risky,Astounded,Unfortunate,She was being risky by driving with her friend to New York City. If she wanted to make sure that she would have been there at the bacholerette party; she should have taken a bus or a plane. If she planned this out properly; she would have been able to avoid this issue. To be honest; buses are usually on schedule and price range wise; it is not bad at all. This whole situation would have never happened if she planned properly.,0,,3,4,2,1,4,4,2,3,4,1,3,3,4,2,2,2,3,3,4,1,2,3,Pain,Guilt,Sad,She missed the bachlerette party of her best friend. ,1,4,1,5,5,1,5,4,2,5,2,1,5,2,5,5,5,4,5,5,2,1,5,5,4,3,1,3,3,2,2,2,4,3,4,4,5,3,4,3,5,4,5,4,2,3,4,3,4,3,2,2,4,3,4,1,4,2,3,3,3,4,1,4,2,3,4,3,4,3,20,5,18,0,0,1,0,0,0,0,0,0,7,7,"To remain objective; subject said that subject ""had to be mean"" and ""take away all emotion"". ",0,0,0
708,1,2,Curtis,annoyed,upset,angry,The letter reminds me of a time my friend lied to me and also ended up ruining important plans of mine.,0,,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,upset,very angry,hurt,The letter writer feels betrayed by the friend who had promised to take her and is also angry in general because of the fact that she missed the bachelorette party.,1,3,1,5,1,4,2,5,1,1,1,1,2,1,4,3,5,4,1,2,3,1,2,5,2,3,1,2,5,1,1,3,5,1,5,1,1,1,5,1,1,5,1,4,1,1,4,2,5,3,2,2,4,4,4,2,2,3,5,3,5,2,2,3,1,4,4,2,3,1,23,5,18,1,0,0,0,1,0,0,0,0,8,8,"To remain objective subject said that subject repeated the thought ""I don't know this person"". Subject also said  remaining objective was difficult.  ",0,0,0
709,1,2,Curtis,Disgust,Confusion,Disbelief,I don't understand why a friend would lie about this particular thing. Lying about not getting his car fixed seems like the worst thing. Why wouldn't he have just gotten repairs? If the guy would have just gotten the repairs then the entire situation wouldn't have even occured,0,,1,3,1,1,1,3,5,1,4,1,1,1,4,2,1,1,2,1,1,1,1,1,Anger,Disbelief,,,1,4,1,5,2,1,4,5,2,1,1,1,4,1,2,2,5,3,1,1,3,1,1,5,2,2,1,2,5,1,1,3,5,1,5,1,2,1,5,1,1,5,2,2,2,5,1,3,2,5,4,2,5,5,2,4,2,1,1,3,2,1,3,3,2,5,4,2,2,1,21,2,18,0,0,0,0,1,0,0,0,0,7,7,"To remain objective subject ""watched"" the situation as a third party.",0,0,0
712,1,2,Curtis,Sad,Sympathetic,Upset,Her situation was very unfortunate.,0,,1,1,5,1,3,3,1,1,2,1,2,1,1,1,4,1,2,4,1,1,1,5,Angry,Upset,Frustrated,,1,3,3,5,1,1,2,5,1,1,1,1,3,1,1,5,5,4,3,2,3,1,1,5,3,3,1,3,5,2,2,3,5,2,5,4,3,2,5,3,2,3,4,4,1,2,4,2,4,4,1,4,5,4,4,2,3,4,4,4,4,4,3,4,3,4,4,2,4,2,19,4,18,0,0,0,0,1,0,0,0,0,7,8,"To remain objective subject tried to ""not make it a big deal as she made it"".",0,0,0
717,1,1,Curtis,Ambivalent,Unmoved,,Despite the fact that the reader felt sad about the experience that happened to her; I didn't really feel that sad about her story.,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,Sad,Frustrated,Disappointed,,1,2,1,1,1,1,1,3,1,1,1,1,1,1,4,2,3,5,1,2,4,1,2,4,3,5,1,3,3,3,3,1,4,2,3,4,4,2,2,2,4,1,3,5,3,2,4,3,4,4,2,1,4,3,2,3,4,3,5,3,5,2,2,4,2,2,2,3,4,1,21,5,18,1,0,0,0,1,0,0,0,0,8,8,"To remain objective; subject said ""I don't know. I just read it"". ",0,0,0
721,2,2,Curtis,Compassion,Frustration,Anger,While reading this person's letter I completely understand where the author is coming from when you trust someone to do you a favor you kinda expect them to actually do it and not lie about anything that could threaten this task.  It sucks that she missed her best friend's bachelarette party because of the lack of responsibility of one person,0,,1,5,1,4,5,2,2,4,1,1,1,1,4,1,1,1,4,3,1,1,1,4,Anger ,Frustration,Guilt,The author is clearly angry with her friend and feels guilty that she missed her best friends bachelarette party as the maid of honor.,1,4,1,5,4,1,3,5,1,1,1,1,2,1,3,4,5,2,2,4,1,1,2,5,1,3,1,2,5,1,1,4,5,3,5,1,4,4,5,1,1,5,5,5,3,4,5,5,1,4,4,1,5,3,5,1,1,5,5,4,5,3,1,4,5,3,5,1,5,1,16,5,18,1,1,0,0,0,0,0,1,0,4,3,,0,0,0
722,2,2,Curtis,Sympathy,Disappointment,Concern,All of these feelings relate to how the writer of the letter must have felt when the events in her story happened.,0,,2,3,4,1,4,4,1,1,2,1,4,2,4,1,4,3,4,3,1,1,1,4,Frustrated,Angry,Disappointed,,1,5,1,5,2,1,2,4,1,3,1,1,5,1,5,5,5,4,1,5,4,1,2,5,2,3,1,3,5,1,2,2,4,1,5,2,4,3,5,2,2,3,5,5,2,3,5,5,4,4,1,1,5,2,4,1,4,4,5,5,5,4,2,4,1,2,5,3,5,3,22,6,18,1,0,1,0,0,0,0,0,0,7,7,,0,0,0
742,3,1,Curtis,sympathy,content,,After reading the letter; I felt sorry for the participants experience because it wasn't a happy one. I feeling content with my situation in the lab and having complete the assignment.  ,0,,3,1,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,2,1,3,4,sad,angry,frustrated,,1,2,1,5,3,1,1,5,1,1,1,1,1,1,4,4,5,5,1,1,1,1,3,5,3,4,1,5,5,2,2,1,5,3,3,4,4,2,4,5,4,2,5,5,2,2,3,2,4,3,2,5,4,4,3,3,4,2,1,4,2,5,2,3,2,4,2,2,2,2,18,6,18,1,0,0,0,1,0,0,0,0,7,7,,0,0,0
724,3,2,Curtis,Sad,Disappointed,Outraged,,0,,1,4,1,5,5,1,5,5,1,1,1,1,2,1,3,3,3,5,1,1,1,5,Sad,Disappointed,Betrayed,,1,2,1,5,2,1,4,5,1,5,1,1,1,1,5,4,5,5,3,2,5,1,1,5,1,2,1,2,5,1,1,5,5,1,5,1,2,2,5,1,1,5,4,5,5,1,5,1,5,5,1,1,4,2,3,2,5,2,2,2,3,1,3,2,1,1,2,4,2,3,17,7,18,1,1,0,0,0,0,0,0,0,7,4,,0,0,0
727,3,2,Curtis,concerned,interested,intrigued,The letter was a bit odd as it  was kind of a rant where she went on about an unfortunate event that just happened recently.  I understand her perspective; but I think it is kind of funny that's what she chose to write about.  Nevertheless; I'm still interested about her story and figuring out how it will keep playing out.,0,,1,2,1,1,3,4,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,2,frustrated,upset,sad,She missed out on the opportunity to go on a trip that she planned with her friend because someone lied about having a good car; so it makes sense that she was pretty ticked off about the situation.,1,2,1,5,1,1,3,5,1,1,1,1,2,1,2,3,5,4,1,3,2,1,1,5,2,3,1,3,5,1,1,4,5,1,5,1,2,2,5,1,1,2,5,5,2,2,5,5,5,4,1,1,3,1,4,1,4,3,5,5,5,2,4,5,1,3,5,2,5,3,19,3,18,1,0,0,0,1,0,0,0,0,2,2,,0,0,0
728,3,1,Curtis,sad,sorry,helpless,,0,,1,4,1,3,1,3,1,2,2,1,4,1,4,2,4,1,3,4,1,1,1,5,mad,upset,shocked,The girl who wrote the letter missed out on a very special event in her friends life they had been planning for a very long time. I felt bad for her because; just like she was; I would have been very upset if i was not able to attend the event as well.,1,5,1,5,3,1,4,4,1,1,1,1,4,1,5,4,5,5,3,4,2,1,2,1,3,4,1,2,2,2,3,2,4,3,2,2,4,2,2,3,3,3,4,5,4,3,3,4,4,4,4,2,2,1,4,2,4,2,4,4,3,1,4,4,2,4,3,2,4,3,20,5,18,1,1,0,0,0,0,0,0,0,4,8,,0,0,0
733,3,1,Curtis,Sad,Sympathetic,,,0,,1,3,1,1,4,2,1,1,2,1,3,1,1,1,1,2,3,5,1,1,1,5,Sadness,Anger,Disappointment,,1,1,1,3,2,1,1,2,1,1,1,1,2,1,5,2,4,5,2,3,3,1,1,3,3,4,1,1,4,2,1,1,5,2,3,2,4,2,2,3,2,1,2,4,1,1,3,1,4,2,2,1,3,4,3,1,1,3,5,3,5,2,2,2,1,4,2,1,3,1,17,4,18,1,0,0,0,1,0,0,0,0,7,3,,0,0,0
737,3,2,Curtis,Sympathy,dislike,understanding,I feel sympathy and understanding for the author of the letter. I dislike the friend who lied to her and caused her to miss the bachelorette party.,0,,1,1,1,2,3,2,3,2,2,1,1,1,1,1,1,2,2,2,1,1,1,4,Anger,Regret,Betrayed,,1,2,1,5,2,1,2,4,1,1,1,1,4,1,2,1,3,3,1,2,2,1,2,4,2,3,1,2,4,1,1,2,4,1,4,1,2,2,5,1,1,4,4,4,2,2,3,1,3,2,2,3,2,5,2,2,2,3,4,3,3,3,4,2,1,5,3,1,4,1,19,6,18,1,0,0,0,1,0,0,0,0,8,8,,0,0,0
1411,3,2,Sophie,pity,annoyance,,I feel bad for Melissa and annoyed at her friend.,0,,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,angry,frustrated,sad,,1,2,1,4,1,1,1,4,1,1,1,1,1,1,3,2,4,2,1,1,3,1,1,5,2,2,1,1,5,1,1,3,5,1,5,1,2,1,5,1,1,4,5,3,2,1,3,5,4,2,2,3,4,2,4,1,5,5,3,4,4,5,1,2,1,2,2,3,3,3,19,6,18,1,0,0,0,1,0,0,0,0,8,8,,0,0,0
1412,3,1,Sophie,Sympathy,Sadness,Bad,I feel bad for this participant because her plans fell through and she still has not gotten over the event.,0,,1,2,1,1,3,3,1,1,2,1,2,1,2,1,2,2,2,3,1,1,1,4,Sad,Frustrated,Guilty,,1,2,1,1,4,2,1,1,1,1,1,1,1,1,4,3,3,4,2,4,3,2,2,3,4,4,1,1,2,4,5,1,4,3,2,4,4,1,2,3,4,1,4,4,3,3,3,2,4,5,1,2,2,3,4,2,5,3,4,3,3,3,4,2,2,4,3,2,4,2,21,6,18,1,0,1,0,0,0,0,0,0,8,8,,0,0,0
